date,value
2020-12-14,337.164795
2020-12-15,341.723053
2020-12-16,342.259369
2020-12-17,344.173279
2020-12-18,342.799042
2020-12-21,341.573334
2020-12-22,340.997650
2020-12-23,341.304138
2020-12-24,342.631897
2020-12-28,345.575378
2020-12-29,344.916168
2020-12-30,345.408234
2020-12-31,347.163147
2021-01-04,342.436981
2021-01-05,344.795410
2021-01-06,346.856781
2021-01-07,352.010101
2021-01-08,354.015869
2021-01-11,351.629456
2021-01-12,351.703766
2021-01-13,352.650848
2021-01-14,351.415894
2021-01-15,348.853149
2021-01-19,351.592346
2021-01-20,356.457886
2021-01-21,356.782898
2021-01-22,355.520111
2021-01-25,356.922211
2021-01-26,356.365082
2021-01-27,347.655334
2021-01-28,350.645294
2021-01-29,343.625366
2021-02-01,349.345367
2021-02-02,354.285065
2021-02-03,354.563721
2021-02-04,358.593567
2021-02-05,360.004913
2021-02-08,362.604919
2021-02-09,362.363434
2021-02-10,362.205597
2021-02-11,362.790588
2021-02-12,364.582733
2021-02-16,364.266907
2021-02-17,364.350494
2021-02-18,362.799866
2021-02-19,362.159180
2021-02-22,359.373566
2021-02-23,359.809998
2021-02-24,363.774780
2021-02-25,355.009369
2021-02-26,353.180115
2021-03-01,361.741302
2021-03-02,358.918518
2021-03-03,354.164398
2021-03-04,349.781708
2021-03-05,356.216461
2021-03-08,354.442963
2021-03-09,359.503510
2021-03-10,361.741302
2021-03-11,365.409088
2021-03-12,365.901123
2021-03-15,368.083282
2021-03-16,367.618988
2021-03-17,368.872528
2021-03-18,363.505615
2021-03-19,362.832977
2021-03-22,365.730164
2021-03-23,362.851532
2021-03-24,361.007050
2021-03-25,363.037933
2021-03-26,368.888214
2021-03-29,368.701904
2021-03-30,367.723755
2021-03-31,369.214294
2021-04-01,373.201447
2021-04-05,378.558014
2021-04-06,378.334442
2021-04-07,378.772369
2021-04-08,380.570374
2021-04-09,383.337036
2021-04-12,383.476868
2021-04-13,384.613342
2021-04-14,383.299896
2021-04-15,387.417389
2021-04-16,388.712280
2021-04-19,386.802551
2021-04-20,383.970581
2021-04-21,387.603729
2021-04-22,384.063690
2021-04-23,388.227905
2021-04-26,389.038330
2021-04-27,388.954498
2021-04-28,388.842834
2021-04-29,391.320709
2021-04-30,388.749573
2021-05-03,389.587982
2021-05-04,387.184540
2021-05-05,387.305634
2021-05-06,390.398468
2021-05-07,393.239807
2021-05-10,389.345917
2021-05-11,385.870972
2021-05-12,377.673096
2021-05-13,382.209839
2021-05-14,388.078857
2021-05-17,387.091309
2021-05-18,383.756348
2021-05-19,382.750214
2021-05-20,386.867798
2021-05-21,386.550995
2021-05-24,390.491669
2021-05-25,389.625275
2021-05-26,390.398468
2021-05-27,390.603455
2021-05-28,391.302155
2021-06-01,390.957367
2021-06-02,391.572235
2021-06-03,390.118988
2021-06-04,393.686981
2021-06-07,393.304993
2021-06-08,393.388947
2021-06-09,392.801971
2021-06-10,394.627869
2021-06-11,395.279968
2021-06-14,396.165039
2021-06-15,395.438354
2021-06-16,393.230530
2021-06-17,393.100098
2021-06-18,387.796997
2021-06-21,393.348663
2021-06-22,395.451599
2021-06-23,394.974976
2021-06-24,397.311615
2021-06-25,398.722809
2021-06-28,399.526520
2021-06-29,399.741577
2021-06-30,400.078033
2021-07-01,402.293121
2021-07-02,405.368011
2021-07-06,404.629669
2021-07-07,406.059692
2021-07-08,402.751068
2021-07-09,407.050354
2021-07-12,408.508484
2021-07-13,407.115845
2021-07-14,407.723358
2021-07-15,406.330688
2021-07-16,403.143646
2021-07-19,397.190063
2021-07-20,402.881958
2021-07-21,406.143799
2021-07-22,406.994354
2021-07-23,411.181427
2021-07-26,412.190948
2021-07-27,410.312256
2021-07-28,410.144012
2021-07-29,411.845001
2021-07-30,409.844910
2021-08-02,408.985077
2021-08-03,412.312286
2021-08-04,410.284149
2021-08-05,412.882538
2021-08-06,413.564697
2021-08-09,413.228271
2021-08-10,413.742249
2021-08-11,414.770477
2021-08-12,416.013489
2021-08-13,416.770538
2021-08-16,417.751862
2021-08-17,415.013397
2021-08-18,410.471130
2021-08-19,411.106659
2021-08-20,414.377838
2021-08-23,418.022949
2021-08-24,418.686615
2021-08-25,419.565063
2021-08-26,417.088348
2021-08-27,420.817413
2021-08-30,422.668091
2021-08-31,422.041901
2021-09-01,422.266205
2021-09-02,423.565308
2021-09-03,423.462433
2021-09-07,421.948364
2021-09-08,421.434296
2021-09-09,419.630524
2021-09-10,416.321869
2021-09-13,417.387360
2021-09-14,415.134979
2021-09-15,418.602386
2021-09-16,417.938843
2021-09-17,413.867584
2021-09-20,406.966766
2021-09-21,406.582336
2021-09-22,410.548492
2021-09-23,415.536682
2021-09-24,416.221008
2021-09-27,415.030304
2021-09-28,406.666687
2021-09-29,407.351196
2021-09-30,402.372437
2021-10-01,407.154297
2021-10-04,401.903564
2021-10-05,406.085358
2021-10-06,407.773132
2021-10-07,411.298584
2021-10-08,410.548492
2021-10-11,407.576263
2021-10-12,406.572937
2021-10-13,408.035675
2021-10-14,414.899109
2021-10-15,418.058899
2021-10-18,419.296509
2021-10-19,422.531342
2021-10-20,424.190979
2021-10-21,425.297333
2021-10-22,424.856659
2021-10-25,427.135040
2021-10-26,427.519440
2021-10-27,425.625519
2021-10-28,429.732239
2021-10-29,430.604309
2021-11-01,431.345032
2021-11-02,433.088989
2021-11-03,435.733002
2021-11-04,437.786530
2021-11-05,439.305450
2021-11-08,439.680481
2021-11-09,438.227142
2021-11-10,434.701691
2021-11-11,434.842346
2021-11-12,438.124023
2021-11-15,438.274078
2021-11-16,440.008606
2021-11-17,438.939758
2021-11-18,440.430573
2021-11-19,439.642975
2021-11-22,438.405273
2021-11-23,438.986633
2021-11-24,440.158630
2021-11-26,430.341827
2021-11-29,435.620575
2021-11-30,427.144470
2021-12-01,422.399994
2021-12-02,428.869659
2021-12-03,425.137939
2021-12-06,430.173035
2021-12-07,439.071045
2021-12-08,440.233704
2021-12-09,437.261444
2021-12-10,441.377533
2021-12-13,437.467682
2021-12-14,434.457855
2021-12-15,441.246307
2021-12-16,437.355194
2021-12-17,432.700439
2021-12-20,428.099396
2021-12-21,435.701935
2021-12-22,440.058472
2021-12-23,442.796478
2021-12-27,449.062988
2021-12-28,448.696014
2021-12-29,449.270050
2021-12-30,448.028015
2021-12-31,446.898926
2022-01-03,449.486389
2022-01-04,449.335999
2022-01-05,440.707672
2022-01-06,440.293701
2022-01-07,438.552948
2022-01-10,438.007233
2022-01-11,441.996735
2022-01-12,443.191711
2022-01-13,437.085175
2022-01-14,437.263885
2022-01-18,429.520111
2022-01-19,425.060181
2022-01-20,420.355530
2022-01-21,412.103760
2022-01-24,413.853821
2022-01-25,408.801147
2022-01-26,407.775452
2022-01-27,405.761932
2022-01-28,415.839203
2022-01-31,423.328888
2022-02-01,426.189270
2022-02-02,430.329315
2022-02-03,420.214478
2022-02-04,422.190430
2022-02-07,420.835480
2022-02-08,424.298096
2022-02-09,430.508087
2022-02-10,422.773804
2022-02-11,414.437225
2022-02-14,413.082306
2022-02-15,419.744049
2022-02-16,420.214478
2022-02-17,411.238037
2022-02-18,408.575317
2022-02-22,404.190582
2022-02-23,397.020874
2022-02-24,402.995605
2022-02-25,411.887329
2022-02-28,410.833527
2022-03-01,404.576447
2022-03-02,412.019043
2022-03-03,409.967834
2022-03-04,406.637024
2022-03-07,394.649658
